Student ID,First Name,Last Name,Date of Birth,Class,Score
1,David Palmer,19.0,2025-08-19,Mathematics,18
2,Andrew Roach,23.0,2025-08-19,Chemistry,18
3,Jonathan Gonzalez,22.0,2025-08-19,Physics,17
4,Kenneth Morrow,24.0,2025-08-19,Physics,18
5,Kaitlyn Martinez,18.0,2025-08-19,Chemistry,17
6,Tiffany Wolf,23.0,2025-08-19,Mathematics,18
7,James Reyes,20.0,2025-08-19,Chemistry,17
8,Samantha Sellers,20.0,2025-08-19,Mathematics,18
9,Michael Kim,25.0,2025-08-19,Computer Science,18
10,Emily Davis,18.0,2025-08-19,Physics,18
11,Adam Evans,20.0,2025-08-19,Physics,18
12,Alejandra Galloway,20.0,2025-08-19,Chemistry,17
13,Cindy Johnston,22.0,2025-08-19,Mathematics,18
14,Taylor Krueger II,20.0,2025-08-19,Computer Science,17
15,Kimberly Vang,23.0,2025-08-19,Computer Science,18
16,Alex Allen,24.0,2025-08-19,Physics,18
17,Dawn Caldwell,24.0,2025-08-19,Computer Science,18
18,Connie Cline,22.0,2025-08-19,Chemistry,18
19,Christine Smith,21.0,2025-08-19,Computer Science,18
20,Dana Burke,23.0,2025-08-19,Physics,17
